编号,模块,页面/位置,问题类型,问题现象,正确结果,优先级,是否重复出现,相关截图/备注,修复状态
BUG-007,产品管理,查看页 vs 编辑页,数据不一致,同一个产品，在查看页面和编辑页面显示的数据不一致（如成本、价格、汇率等）,"查看页和编辑页必须使用同一数据源；
所有字段（成本、售价、汇率）保持一致；
编辑保存后，查看页立即同步更新；
不允许两个页面显示不同数据",P0,是,数据来源不统一（可能涉及 products / product_costs / product_prices）, ✅
BUG-008,产品管理,详情页,功能冗余 / 逻辑不一致,详情页存在SKU列表，但新增页和编辑页无SKU维护入口,若不支持SKU应隐藏；若支持需新增/编辑页提供SKU功能,P0,是,SKU模块仅详情页存在, ✅
BUG-009,产品管理,详情页,无效展示,单SKU产品仍显示SKU列表且无数据,单SKU产品不应展示SKU模块,P0,是,暂无SKU数据, ✅
BUG-010,产品管理,新增页 vs 编辑页 vs 详情页,结构不一致,三页面字段和模块结构不一致,三页面字段结构需统一,P0,是,页面结构不同, ✅
BUG-011,产品管理,新增页 vs 编辑页,字段不一致,新增页与编辑页字段不一致,新增页与编辑页字段需统一,P0,是,成本/售价字段差异, ✅
BUG-012,产品管理,详情页,未完成模块暴露,显示暂无SKU数据提示,未启用模块应隐藏,P1,是,SKU提示信息, ✅
BUG-013,产品管理,详情页 vs 编辑页,展示/编辑不一致,详情页展示内容与编辑页不完全对应,展示字段必须来源于可编辑字段,P0,是,内容信息模块, ✅
BUG-014,产品管理,新增页,默认值逻辑不明确,默认上架/平台/汇率自动填写,默认值需规则或用户选择,P1,是,默认上架风险, ✅
BUG-015,产品管理,详情页,无效模块展示,内容信息为空仍展示,无数据应隐藏模块,P1,是,暂无内容数据, ✅
BUG-016,产品管理,编辑页/新增页,字段定义不清,描述/备注/内容信息边界不清,需明确字段用途,P1,是,字段命名混乱, ✅
BUG-017,产品管理,整体页面,交互设计问题,模块层级混乱影响操作,需按逻辑分组优化结构,P2,是,页面结构杂乱, (P2)
BUG-018,产品管理,编辑页,字段设计问题,产品型号字段存在，但未明确用途且未与任何逻辑关联,需明确“型号”为对外字段或内部字段，并统一使用规则,P1,是,型号字段目前空置, ✅
BUG-019,产品管理,编辑页,数据逻辑问题,重量、体积为手动填写，未参与任何计算逻辑,重量/体积应与物流或运费计算关联，或明确仅为记录用途,P2,是,当前仅展示无用途, ✅
BUG-020,产品管理,编辑页,交互问题,分类/品牌/供应商输入框无历史记录或搜索反馈,输入时应有模糊搜索或历史记录提示,P1,是,当前无联想功能, ✅
BUG-021,产品管理,编辑页,字段缺失,产品缺少“单位”（pcs/套/件）字段,应增加单位字段用于报价和订单统一,P1,是,报价时会混乱, ✅
BUG-022,产品管理,编辑页,数据结构问题,产品未绑定“产品类型”（如智能家居/路由器/机器人）,需增加产品类型字段用于分类统计,P1,是,后期分析困难, ✅
BUG-023,产品管理,编辑页,数据逻辑问题,成本备注字段存在但未结构化,成本备注建议结构化或增加标签（运费/税费等）,P2,是,目前为纯文本, (P2)
BUG-024,产品管理,编辑页,数据冗余问题,同时存在RMB成本和USD成本且自动换算逻辑不透明,需明确主数据源（RMB或USD）并统一换算规则,P0,是,存在数据不一致风险, ✅
BUG-025,产品管理,编辑页,逻辑缺失,售价与成本之间无利润自动校验,应增加利润计算或低于成本提示,P0,是,存在亏损风险, ✅
BUG-026,产品管理,编辑页,交互问题,平台选择（Website）未影响任何字段变化,不同平台应影响费用率或价格计算,P1,是,当前无联动, ✅
BUG-027,产品管理,编辑页,数据校验问题,售价、成本、汇率等字段无输入校验（可填0或异常值）,需增加数值校验（>0、范围限制）,P0,是,存在脏数据风险, ✅
BUG-028,产品管理,编辑页,核心逻辑缺失,售价未根据成本和汇率自动计算，需手动填写,售价应支持自动计算（成本×汇率×倍率）或提供自动生成按钮,P0,是,当前售价完全手填,
BUG-029,产品管理,产品列表页,数据同步问题,新增产品后列表中未显示售价数据,新增后应同步显示默认售价或标记未定价状态,P0,是,新增产品无售价,
BUG-030,产品管理,新增页,流程缺失,新增产品未强制填写售价或未提示,应在保存前校验或提示“未设置售价”,P0,是,存在漏填情况,
BUG-031,产品管理,编辑页,数据依赖问题,RMB成本、USD成本、汇率三者可独立修改，逻辑混乱,需设定主字段（如RMB成本）并自动换算其他字段,P0,是,存在数据不一致风险,
BUG-032,产品管理,编辑页,计算逻辑缺失,利润（USD/利润率）未实时联动更新,修改成本或售价时应自动计算利润和利润率,P0,是,当前为静态显示,
BUG-033,产品管理,编辑页,平台逻辑缺失,选择平台（Ali/AE）未影响费用或利润计算,不同平台应自动带入对应费率,P1,是,Ali 2.5%未参与计算,
BUG-034,产品管理,产品列表页,展示问题,列表页利润显示与实际数据可能不一致,列表数据需与编辑页实时计算一致,P1,是,存在展示误差风险,
BUG-035,产品管理,编辑页,异常处理缺失,售价低于成本时无提示,应增加“亏损提示”或禁止保存,P0,是,存在亏损风险,
BUG-036,产品管理,产品列表页,状态逻辑问题,产品显示“上架”但信息未完整（无售价）,未完成数据产品不应允许上架,P1,是,状态与数据不匹配,
BUG-037,产品管理,整体,业务流程缺失,产品从新增到可售缺少完整流程（成本→定价→上架）,应建立完整流程校验（未定价不可上架）,P1,是,流程不闭环,